;Pays;Unite;Annee;PIB
193;LVA;USD_CAP;2021;35096,19873
194;BRA;USD_CAP;2017;14596,88968
195;BRA;USD_CAP;2018;15090,63762
196;BRA;USD_CAP;2019;15416,98184
197;LTU;USD_CAP;2017;33761,9066
198;LTU;USD_CAP;2018;36357,22913
199;LTU;USD_CAP;2019;38491,44494
200;LTU;USD_CAP;2020;38880,54323
201;LTU;USD_CAP;2021;43342,1675
202;SAU;USD_CAP;2017;47862,02225
203;SAU;USD_CAP;2018;49157,12264
204;SAU;USD_CAP;2019;49020,21191
205;SAU;USD_CAP;2020;46342,5977
206;EA19;USD_CAP;2017;45708,45992
207;EA19;USD_CAP;2018;47639,86748
208;EA19;USD_CAP;2019;48849,90954
209;EA19;USD_CAP;2020;47133,0858
210;EA19;USD_CAP;2021;51801,16811
211;ARG;USD_CAP;2017;23597,11776
212;ARG;USD_CAP;2018;22974,14539
213;ARG;USD_CAP;2019;22624,77754
214;CRI;USD_CAP;2017;20368,23027
215;CRI;USD_CAP;2018;21312,71338
216;CRI;USD_CAP;2019;22598,07195
217;CRI;USD_CAP;2020;22180,99204
218;CRI;USD_CAP;2021;24576,09993
219;BGR;USD_CAP;2017;21470,00136
220;BGR;USD_CAP;2018;23016,01465
221;BGR;USD_CAP;2019;24497,49164
222;BGR;USD_CAP;2020;24564,26522
223;HRV;USD_CAP;2017;27119,16085
224;HRV;USD_CAP;2018;28856,06128
225;HRV;USD_CAP;2019;30529,12841
226;HRV;USD_CAP;2020;28783,20297
227;CYP;USD_CAP;2017;38288,13806
228;CYP;USD_CAP;2018;40559,35021
229;CYP;USD_CAP;2019;42338,70714
230;CYP;USD_CAP;2020;39466,02695
231;MLT;USD_CAP;2017;43530,51147
232;MLT;USD_CAP;2018;45591,7567
233;MLT;USD_CAP;2019;47362,60217
234;MLT;USD_CAP;2020;43180,932
235;ROU;USD_CAP;2017;27136,13067
236;ROU;USD_CAP;2018;29338,1069
237;ROU;USD_CAP;2019;31860,3163
238;ROU;USD_CAP;2020;32182,14175
239;MKD;USD_CAP;2017;15706,47589
240;MKD;USD_CAP;2018;16796,38611
241;ZMB;USD_CAP;2017;3484,940724
242;ZMB;USD_CAP;2018;3606,038196
243;ZMB;USD_CAP;2019;3617,2069
244;HKG;USD_CAP;2017;59846,81923
245;HKG;USD_CAP;2018;62529,05749
246;HKG;USD_CAP;2019;62109,41012
247;HKG;USD_CAP;2020;59210,46781
248;MDG;USD_CAP;2017;1601,521574
249;MDG;USD_CAP;2018;1643,983294
250;MDG;USD_CAP;2019;1702,788076
251;MDG;USD_CAP;2020;1560,022834
252;MAR;USD_CAP;2017;7581,215412
253;MAR;USD_CAP;2018;7923,993415
254;MAR;USD_CAP;2019;8190,211658
255;MAR;USD_CAP;2020;7685,557723
256;SGP;USD_CAP;2017;95354,73424
257;SGP;USD_CAP;2018;100575,3789
258;SGP;USD_CAP;2019;102565,6513
259;SGP;USD_CAP;2020;98479,9992
260;EU27_2020;USD_CAP;2017;42704,06697
261;EU27_2020;USD_CAP;2018;44665,26846
262;EU27_2020;USD_CAP;2019;46028,38491
263;EU27_2020;USD_CAP;2020;44755,33779
264;EU27_2020;USD_CAP;2021;48895,10921
265;ALB;USD_CAP;2017;12771,00065
266;ALB;USD_CAP;2018;13498,20826
